id,name,country_code
1,Vila,AD
2,El Tarter,AD
3,Sant Julià de Lòria,AD
4,Pas de la Casa,AD
5,Ordino,AD
6,les Escaldes,AD
7,la Massana,AD
8,Encamp,AD
9,Canillo,AD
10,Arinsal,AD
11,Anyós,AD
12,Andorra la Vella,AD
13,Aixirivall,AD
14,Warīsān,AE
15,Umm Suqaym,AE
16,Umm Al Quwain City,AE
17,Ţarīf Kalbā,AE
18,Ar Rāshidīyah,AE
19,Ras Al Khaimah,AE
20,Muzayri‘,AE
21,Murbaḩ,AE
22,Maşfūţ,AE
23,Zayed City,AE
24,Khawr Fakkān,AE
25,Kalbā,AE
26,Jumayrā,AE
27,Al Jazīrah al Ḩamrā’,AE
28,Dubai,AE
29,Dibba Al-Fujairah,AE
30,Dibba Al-Hisn,AE
31,Dayrah,AE
32,Sharjah,AE
33,Ash Sha‘m,AE
34,Ar Ruways,AE
35,Al Manāmah,AE
36,Al Ḩamrīyah,AE
37,Ḩattā,AE
38,Fujairah,AE
39,Al Ain City,AE
40,Ajman,AE
41,Adh Dhayd,AE
42,Abu Dhabi,AE
43,Abū Hayl,AE
44,As Saţwah,AE
45,Margham,AE
46,Abū Mūsá,AE
47,Nadd al Ḩumr,AE
48,Al Lusaylī,AE
49,Suwayḩān,AE
50,Al Ḩamīdīyah,AE
51,Al Waheda,AE
52,Al Twar First,AE
53,AL Twar Second,AE
54,Al Qusais Second,AE
55,Al Karama,AE
56,Al Hudaiba,AE
57,Knowledge Village,AE
58,The Palm Jumeirah,AE
59,Za'abeel,AE
60,Oud Metha,AE
61,Bur Dubai,AE
62,Khalifah A City,AE
63,Shakhbout City,AE
64,Mirdif,AE
65,Hawr al ‘Anz,AE
66,Mankhūl,AE
67,Būr Sa‘īd,AE
68,Nāyf,AE
69,Al Murar al Qadīm,AE
70,Ar Riqqah,AE
71,Al Warqaa,AE
72,International City,AE
73,Dubai Marina,AE
74,Dubai Sports City,AE
75,Dubai Internet City,AE
76,Al Sufouh,AE
77,Al Safa,AE
78,Ar Rumaylah,AE
79,Mushayrif,AE
80,Al Jurf,AE
81,Al Majaz,AE
82,As Saţwah Sharq,AE
83,Dubai Festival City,AE
84,Dubai International Financial Centre,AE
85,Downtown Dubai,AE
86,Dubai Investments Park,AE
87,Jebel Ali,AE
88,Bani Yas City,AE
89,Musaffah,AE
90,Al Shamkhah City,AE
91,Reef Al Fujairah City,AE
92,Al Wiqan,AE
93,Al Faqaa,AE
94,Sha'biyyat Al Hiyar,AE
95,Sha'biyyat Milе̄hah,AE
96,Umm Al Sheif,AE
97,Al Bada'a,AE
98,Al Muteena,AE
99,Al Mizhar First,AE
100,Al Mizhar Second,AE
101,Dubai Silicon Oasis,AE
102,Dubai Motor City,AE
103,DAMAC Hills,AE
104,Al Furjan,AE
105,Business Bay,AE
106,Al Qusais 1,AE
107,Al Twar 3,AE
108,Al Khabaisi,AE
109,Al Khawaneej 1,AE
110,Halwan,AE
111,Al Sajaah,AE
112,Lahbab,AE
113,Al Madam,AE
114,Al Raafah,AE
115,Mohammed Bin Zayed City,AE
116,Masdar City,AE
117,Zōr Kōṯ,AF
118,Wulêswālī Bihsūd,AF
119,Kuhsān,AF
120,Lāsh,AF
121,Tukzār,AF
122,Bati,AF
123,Mīray,AF
124,Āq Kupruk,AF
125,Zurmat,AF
126,Zaybāk,AF
127,Zīārat-e Shāh Maqşūd,AF
128,Zindah Jān,AF
129,Zarghūn Shahr,AF
130,Zaṟah Sharan,AF
131,Zaranj,AF
132,Zamtō Kêlay,AF
133,Yangī Qal‘ah,AF
134,Bāzār-e Yakāwlang,AF
135,Yaḩyá Khēl,AF
136,Wāshēr,AF
137,Tōrmay,AF
138,Tūlak,AF
139,Tītān,AF
140,Tīr Pul,AF
141,Taywarah,AF
142,Bāzār-e Tashkān,AF
143,Tarinkot,AF
144,Taloqan,AF
145,Tagāw-Bāy,AF
146,Tagāb,AF
147,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,AF
148,Spīn Bōldak,AF
149,Spērah,AF
150,Sōzmah Qal‘ah,AF
151,Siyāhgird,AF
152,S̲h̲ēwah,AF
153,Shīnḏanḏ,AF
