Sectors,Sub Sectors and Economic Activity,Year,Expenditure
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",2005-06,3717.87
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2005-06,300.57
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",2005-06,153.26
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",2005-06,14.84
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2005-06,19.09
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2005-06,36.66
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2005-06,4242.29
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2005-06,732234.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2005-06,0.58
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2005-06,96.85
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2005-06,90.1
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2005-06,23.73
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2005-06,6.68
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2005-06,25.71
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2005-06,61.19
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2005-06,564.65
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2005-06,10.81
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",12. Manufacture of other Non-Metallic Mineral Products,2005-06,27.26
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",13. Manufacture of Basic Metals,2005-06,37.77
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",14. Manufacture of Fabricated Metal Products,2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","15. Manufacture of Medical, Precision and Optical Instruments",2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",16. Manufacture of Electrical Machinery and Apparatus,2005-06,0.38
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",17. Manufacture of Machinery and Equipment,2005-06,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","18. Electricity, Gas, Steam and Water Supply",2005-06,1555.66
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","19. Land Transport, Transport via Pipelines",2005-06,56.86
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Total R&D Expenditure (Rs Crore) (B),2005-06,2557.64
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",GDP by industry of origin (at factor cost Rs. Crores),2005-06,859410.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Ratio of R&D expenditure to GDP by industry of origin (%),2005-06,0.3
(C) Transport & Communication,1. Manufacture of Motor Vehicles,2005-06,63.35
(C) Transport & Communication,2. Manufacture of other Transport Equipment,2005-06,0.0
(C) Transport & Communication,3. Telecommunications,2005-06,157.55
(C) Transport & Communication,4. Computer and Related Activities,2005-06,223.5
(C) Transport & Communication,Total R&D Expenditure(Rs in Crore) ( C ),2005-06,444.41
(C) Transport & Communication,GDP by industry of origin (at factor cost Rs. Crores),2005-06,846606.0
(C) Transport & Communication,Ratio of R&D expenditure to GDP by industry of origin (%),2005-06,0.05
(D) Public Administration & Defence and other Services,1. Public Administration and Defence,2005-06,5299.41
(D) Public Administration & Defence and other Services,2. Education,2005-06,425.15
(D) Public Administration & Defence and other Services,3. Health and Social Work,2005-06,603.73
(D) Public Administration & Defence and other Services,4. Service Sector,2005-06,4988.38
(D) Public Administration & Defence and other Services,5. Others Please Specify,2005-06,358.42
(D) Public Administration & Defence and other Services,Total R&D Expenditure (Rs Crore) (D),2005-06,11675.09
(D) Public Administration & Defence and other Services,GDP by industry of origin (at factor cost Rs. Crores),2005-06,459151.0
(D) Public Administration & Defence and other Services,Ratio of R&D expenditure to GDP by industry of origin (%),2005-06,2.54
Total ,R&D Expenditure(Rs in Crore) (A+B+C+D),2005-06,18919.42
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",2006-07,4401.52
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2006-07,350.37
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",2006-07,163.42
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",2006-07,6.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2006-07,26.64
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2006-07,36.85
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2006-07,4984.79
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2006-07,829771.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2006-07,0.6
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2006-07,102.71
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2006-07,83.5
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2006-07,23.98
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2006-07,9.34
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2006-07,22.27
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2006-07,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2006-07,54.96
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2006-07,710.31
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2006-07,27.63
